,doc_id,a_annotator,a_relation,b_annotator,b_relation
0,30920174441,Sheridan,"['83', '83', '84', '84', 'cex']",Kate,"['84', '84', '83', '83', 'elab']"
1,30920174441,Sheridan,"['79', '79', '78', '78', 'elabx']",Kate,"['78', '78', '79', '79', 'ce']"
2,30920174446,Kate,"['6', '6', '7', '7', 'elab']",Muskaan,"['6', '6', '7', '8', 'cex']"
3,17142,Sheridan,"['26', '27', '25', '25', 'ce']",Kate,"['26', '26', '25', '25', 'elab']"
4,30920174441,Sheridan,"['52', '55', '51', '51', 'elab']",Kate,"['51', '52', '53', '53', 'ce']"
5,30920174441,Sheridan,"['80', '81', '79', '79', 'cex']",Kate,"['80', '80', '79', '79', 'elab']"
6,30920174446,Kate,"['36', '37', '38', '39', 'elab']",Muskaan,"['36', '37', '38', '39', 'ce']"
7,51020131206,Kate,"['3', '6', '7', '7', 'elab']",Muskaan,"['5', '6', '7', '7', 'ce']"
8,30920174446,Kate,"['33', '35', '36', '36', 'elab']",Muskaan,"['36', '37', '28', '35', 'cex']"
9,51020131202,Kate,"['85', '87', '81', '84', 'elab']",Muskaan,"['81', '84', '85', '87', 'ce']"
