,doc_id,a_annotator,a_label,b_annotator,b_label,text
0,291020230451,Sheridan,UNBOUNDED EVENT (GENERIC),Muskaan,COERCED STATE (GENERIC),whether to legalize marijuana 
1,51020131206,Muskaan,COERCED STATE (GENERIC),Kate,UNBOUNDED EVENT (GENERIC),"to screw , demagogue , ruin , "
2,30920174441,Sheridan,COERCED STATE (GENERIC),Kate,UNBOUNDED EVENT (GENERIC),"If using a public street corner ,"
3,30920174441,Sheridan,COERCED STATE (GENERIC),Kate,UNBOUNDED EVENT (GENERIC),"and could n't be bothered to plant it in a valuable natural form , "
4,17142,Sheridan,COERCED STATE (GENERIC),Kate,UNBOUNDED EVENT (GENERIC),"When we got this tech , "
5,30920174441,Sheridan,COERCED STATE (GENERIC),Kate,UNBOUNDED EVENT (GENERIC),If a smoker took his own medicine 
6,30920174441,Sheridan,UNBOUNDED EVENT (GENERIC),Kate,COERCED STATE (GENERIC),you 're getting a second view of the pot 
7,51020131202,Muskaan,COERCED STATE (GENERIC),Kate,UNBOUNDED EVENT (GENERIC),"Any progressive organization will not fight against the wrongs done , "
8,11776,Muskaan,UNBOUNDED EVENT (GENERIC),Kate,COERCED STATE (GENERIC),We expanded the scope of laws 
9,30920174441,Sheridan,UNBOUNDED EVENT (GENERIC),Kate,COERCED STATE (GENERIC),and getting in the habit of its treat .
