,doc_id,a_annotator,a_label,b_annotator,b_label,text
0,51020131202,Muskaan,UNBOUNDED EVENT (SPECIFIC),Kate,BASIC STATE,"while the campaign did not just last six months , "
1,30920174446,Muskaan,UNBOUNDED EVENT (SPECIFIC),Kate,BASIC STATE,"which surveyed almost 6,000 patients in 24 countries on all sorts of subjects , "
2,51020131202,Muskaan,UNBOUNDED EVENT (SPECIFIC),Kate,BASIC STATE,"A revolutionary idea was espoused by a young person-turned-politician , "
3,30920174446,Muskaan,UNBOUNDED EVENT (SPECIFIC),Kate,BASIC STATE,says Alcohol Health Canada . 
4,291020230448,Sheridan,UNBOUNDED EVENT (SPECIFIC),Kate,BASIC STATE,the authors write. 
5,291020230451,Sheridan,BASIC STATE,Muskaan,UNBOUNDED EVENT (SPECIFIC),what he considered a dangerous transaction . 
6,51020131202,Muskaan,UNBOUNDED EVENT (SPECIFIC),Kate,BASIC STATE,it did not do enough for each individual . 
7,51020131204,Sheridan,UNBOUNDED EVENT (SPECIFIC),Muskaan,BASIC STATE,A prestigious research paper claims 
8,30920174448,Sheridan,UNBOUNDED EVENT (SPECIFIC),Muskaan,BASIC STATE,Soderlund and dos Ribeins argue 
9,51020131204,Sheridan,UNBOUNDED EVENT (SPECIFIC),Muskaan,BASIC STATE,says that the code of discernment and justification behind the violation of marriage laws 
