topic,title,notes
1,topic1,
2,topic2,
3,topic3,
4,topic4,
5,topic5,
6,topic6,
7,topic7,
8,topic8,
9,topic9,
10,topic10,
11,Political speeches/ press conferences,
12,UNCLEAR,
13,topic13,
14,topic14,
15,topic15,
16,UNCLEAR1 (infectious diseases/ Bangladesh),
17,Mental illness,
18,topic18,
19,topic19,
20,News and reality TV,
21,topic21,
22,topic22,
23,topic23,
24,topic24,
25,topic25,
26,topic26,
27,topic27,
28,Medications and side effects,
29,topic29,
30,topic30,
31,topic31,
32,topic32,
33,topic33,
34,topic34,
35,topic35,
36,topic36,
37,topic37,
38,topic38,
39,topic39,
40,topic40,
41,topic41,
42,Kidnapping/ hostage situation,
43,UNCLEAR2 (city/ state names and names of people),
44,topic44,
45,topic45,
46,Academic/ expert research,
47,topic47,
48,topic48,
49,topic49,
50,topic50,
51,topic51,
52,topic52,
53,topic53,
54,topic54,
55,topic55,
56,Energy production and the environment,
57,topic57,
58,topic58,
59,topic59,
60,Food,
61,topic61,
62,topic62,
63,topic63,
64,topic64,
65,topic65,
66,topic66,
67,topic67,
68,topic68,
69,topic69,
70,topic70,
71,topic71,
72,topic72,
73,topic73,
74,UNCLEAR3 (competing themes of trains/ texting and calling),
75,topic75,
76,topic76,
77,topic77,
78,Makeup,
79,topic79,
80,topic80,
81,topic81,
82,Cars,
83,topic83,
84,topic84,
85,topic85,
86,topic86,
87,topic87,
88,Problems/ solving problems,
89,topic89,
90,topic90,
91,topic91,
92,Vague alcohol theme,
93,topic93,
94,topic94,
95,topic95,
96,UNCLEAR4 (genocide trial?),
97,topic97,
98,topic98,
99,topic99,
100,topic100,
101,topic101,
102,topic102,
103,topic103,
104,topic104,
105,topic105,
106,Criminal accusations and investigations,
107,topic107,
108,topic108,
109,topic109,
110,topic110,
111,Global economy and markets,
112,topic112,
113,topic113,
114,topic114,
115,topic115,
116,topic116,
117,topic117,
118,topic118,
119,topic119,
120,topic120,
121,topic121,
122,topic122,
123,topic123,
124,topic124,
125,topic125,
126,topic126,
127,topic127,
128,topic128,
129,topic129,
130,topic130,
131,topic131,
132,topic132,
133,topic133,
134,topic134,
135,topic135,
136,topic136,
137,topic137,
138,topic138,
139,topic139,
140,topic140,
141,topic141,
142,topic142,
143,Organ donation procedure,
144,The Arctic,
145,topic145,
146,topic146,
147,topic147,
148,topic148,
149,Gang violence,
150,topic150,
151,topic151,
152,topic152,
153,topic153,
154,topic154,
155,topic155,
156,topic156,
157,topic157,
158,topic158,
159,topic159,
160,topic160,
161,topic161,
162,topic162,
163,topic163,
164,topic164,
165,Human rights/ abuses,
166,topic166,
167,topic167,
168,topic168,
169,topic169,
170,topic170,
171,topic171,
172,topic172,
173,topic173,
174,topic174,
175,topic175,
176,topic176,
177,topic177,
178,topic178,
179,topic179,
180,topic180,
181,topic181,
182,topic182,
183,topic183,
184,topic184,
185,UNCLEAR5,
186,topic186,
187,UNCLEAR6 (Chicago/ Irish theme),
188,Infectious diseases,
189,topic189,
190,topic190,
191,topic191,
192,Police and crime,
193,Movie stars/ actors,
194,topic194,
195,Russia/ former Soviet Union and NATO,
196,topic196,
197,topic197,
198,Shopping,
199,Academic research (evolution/ volcano focus),
200,topic200,
201,topic201,
202,topic202,
203,topic203,
204,topic204,
205,topic205,
206,topic206,
207,topic207,
208,topic208,
209,topic209,
210,topic210,
211,UNCLEAR7,
212,topic212,
213,topic213,
214,topic214,
215,topic215,
216,Neurology/ brain problems,
217,UNCLEAR8 (words indicating experiencing/ change or arrival,
218,topic218,
219,topic219,
220,topic220,
221,topic221,
222,Drugs and law enforcement,
223,topic223,
224,topic224,
225,topic225,
226,UNCLEAR9 (Planes/ airlines?),
227,topic227,
228,Music/ music artists,
229,topic229,
230,topic230,
231,topic231,
232,topic232,
233,topic233,
234,topic234,
235,topic235,
236,topic236,
237,topic237,
238,topic238,
239,topic239,
240,topic240,
241,American cities,
242,topic242,
243,topic243,
244,topic244,
245,topic245,
246,Smartphones and software,
247,Drug smuggling,
248,Taxes and government spending,
249,topic249,
250,Hotels/ vacations,
