,doc_id,a_annotator,a_relation,b_annotator,b_relation
0,291020230448,Sheridan,"['17', '18', '16', '16', 'ce']",Kate,"['16', '16', '18', '18', 'elab']"
1,17142,Sheridan,"['26', '27', '25', '25', 'ce']",Kate,"['26', '26', '25', '25', 'elab']"
2,11776,Kate,"['25', '25', '24', '24', 'elab']",Muskaan,"['12', '24', '25', '27', 'ce']"
3,51020131202,Kate,"['85', '87', '81', '84', 'elab']",Muskaan,"['81', '84', '85', '87', 'ce']"
4,51020131204,Sheridan,"['13', '13', '12', '12', 'elab']",Muskaan,"['11', '12', '13', '15', 'ce']"
5,51020131204,Sheridan,"['22', '24', '20', '21', 'elabx']",Muskaan,"['22', '23', '11', '21', 'ce']"
6,51020131204,Sheridan,"['59', '59', '57', '57', 'elab']",Muskaan,"['57', '58', '59', '60', 'cex']"
7,51020131206,Kate,"['3', '6', '7', '7', 'elab']",Muskaan,"['5', '6', '7', '7', 'ce']"
8,51020131206,Kate,"['27', '27', '28', '28', 'elab']",Muskaan,"['27', '27', '28', '28', 'ce']"
9,30920174441,Sheridan,"['52', '55', '51', '51', 'elab']",Kate,"['51', '52', '53', '53', 'ce']"
10,30920174441,Sheridan,"['52', '52', '53', '55', 'elab']",Kate,"['51', '52', '53', '53', 'ce']"
11,30920174441,Sheridan,"['79', '79', '78', '78', 'elabx']",Kate,"['78', '78', '79', '79', 'ce']"
12,30920174441,Sheridan,"['80', '81', '79', '79', 'cex']",Kate,"['80', '80', '79', '79', 'elab']"
13,30920174441,Sheridan,"['83', '83', '84', '84', 'cex']",Kate,"['84', '84', '83', '83', 'elab']"
14,30920174446,Kate,"['6', '6', '7', '7', 'elab']",Muskaan,"['6', '6', '7', '8', 'cex']"
15,30920174446,Kate,"['33', '35', '36', '36', 'elab']",Muskaan,"['36', '37', '28', '35', 'cex']"
16,30920174446,Kate,"['36', '37', '38', '39', 'elab']",Muskaan,"['36', '37', '38', '39', 'ce']"
17,30920174448,Sheridan,"['34', '34', '33', '33', 'elab']",Muskaan,"['33', '33', '34', '34', 'ce']"
